Checkpoint,D,A,CEO_action,asa_shift,asa_cost,E[L_board],E[L_market],E[L_ceo],E[U_ASA],P(strike1),P(strike2),P(spill),P(revolt),P(CEO resign),P(CEO sacked),Mean CAR,Mean exit,E[impl_cost],E[car_penalty],E[strike1_penalty],E[revolt_penalty],E[exit_penalty],E[strike2_penalty],E[spill_penalty],E[switch_cost],E[ceo_agency],Mean B_mkt_agm,strike_count,prev_action
C0,D0 Minimal,DoNothing,Stay,0.0,0.0,3.81183259157105,5.031535122094732,0.09920740731566702,1.6997,0.84985,0.0,0.0,0.51425,0.0,0.0,0.0013194367639567661,-0.04049488769076569,0.09999999999999999,0.19682962926266806,3.3994,1.285625,0.049680492832064944,0.0,0.0,0.0,0.0,0.06341086801188715,0,
C0,D0 Minimal,DoNothing,Resign,0.0,0.0,0.8502918050224365,2.0624640733632487,0.8626162696706935,0.8245,0.41225,0.0,0.0,0.10115,1.0,0.0,0.013303416512453595,0.5620020265795421,0.09999999999999999,0.0504650786827738,1.649,0.252875,0.010123994680475019,0.0,0.0,0.0,0.7999999999999999,0.059425949337342604,0,
C0,D0 Minimal,RecommendStrike,Stay,0.5,0.3,5.1744095005556945,5.402254334074259,0.09983736234490727,1.5959999999999996,0.948,0.0,0.0,0.50455,0.0,0.0,0.001295499574445903,-0.033015972302912755,0.09999999999999999,0.19934944937962906,3.792,1.261375,0.04952988469463025,0.0,0.0,0.0,0.0,0.05109527856537676,0,
C0,D0 Minimal,RecommendStrike,Resign,0.5,0.3,1.8099511877063683,3.019334916941825,0.862921262382971,1.0032,0.6516,0.0,0.0,0.1004,1.0,0.0,0.013286053854703186,0.5633188489912273,0.09999999999999999,0.051685049531883784,2.6064,0.251,0.010249867409940994,0.0,0.0,0.0,0.7999999999999999,0.052602520583708984,0,
C0,D1 Review-first,DoNothing,Stay,0.0,0.0,0.474111651775411,1.012065535700548,0.1406471248113195,0.3223,0.16115,0.0,0.0,0.0209,0.0,0.0,0.011444595324607405,0.936177383184935,0.25,0.06258849924527798,0.6446,0.05225,0.002627036455269853,0.0,0.0,0.0,0.0,-1.5570817579602871,0,
C0,D1 Review-first,DoNothing,Resign,0.0,0.0,0.2665833517030572,0.3256361356040762,0.9275406300560589,0.0316,0.0158,0.0,0.0,0.00085,1.0,0.0,0.023522455114495504,1.5426018483153132,0.25,0.010162520224235612,0.0632,0.002125,0.0001486153798406409,0.0,0.0,0.0,0.7999999999999999,-1.5572153452914872,0,
C0,D1 Review-first,RecommendStrike,Stay,0.5,0.3,0.8192685863298466,1.7942997817731288,0.14141898374312165,0.4131,0.35655,0.0,0.0,0.01995,0.0,0.0,0.011471447543778115,0.9359161405742691,0.25,0.06567593497248654,1.4262,0.049875,0.0025488468006421884,0.0,0.0,0.0,0.0,-1.5584710906773838,0,
C0,D1 Review-first,RecommendStrike,Resign,0.5,0.3,0.3046722429359067,0.4891963239145423,0.9277271769817126,-0.18719999999999998,0.0564,0.0,0.0,0.001,1.0,0.0,0.023522872826098877,1.53835327364821,0.25,0.010908707926850527,0.2256,0.0025,0.00018761598769174312,0.0,0.0,0.0,0.7999999999999999,-1.5622629559593264,0,
C0,D2 Accountability-lite,DoNothing,Stay,0.0,0.0,0.7599186068101239,1.5768081424134983,0.19481053474363666,0.5137,0.25685,0.0,0.0,0.0461,0.0,0.0,0.009664842352043235,0.767506042264641,0.35000000000000003,0.0792421389745466,1.0274,0.11525,0.0049160034389518865,0.0,0.0,0.0,0.0,-1.279432140127122,0,
C0,D2 Accountability-lite,DoNothing,Resign,0.0,0.0,0.3768477402630986,0.4996469870174646,0.9785447799640317,0.0649,0.03245,0.0,0.0,0.0021,1.0,0.0,0.021773103192381557,1.3666874231927917,0.35000000000000003,0.014179119856127152,0.1298,0.00525,0.0004178671613375143,0.0,0.0,0.0,0.7999999999999999,-1.2811365852966294,0,
C0,D2 Accountability-lite,RecommendStrike,Stay,0.5,0.3,1.3892696053320106,2.5205178071093477,0.1955853919883493,0.6842,0.4921,0.0,0.0,0.04585,0.0,0.0,0.009703029627084452,0.767938322953886,0.35000000000000003,0.0823415679533971,1.9684,0.114625,0.005151239155950418,0.0,0.0,0.0,0.0,-1.2756335113527282,0,
C0,D2 Accountability-lite,RecommendStrike,Resign,0.5,0.3,0.4448338602582464,0.774845147010995,0.9784733743284323,-0.09669999999999998,0.10165,0.0,0.0,0.0016,1.0,0.0,0.02176429097582871,1.3770382468292197,0.35000000000000003,0.013893497313730012,0.4066,0.004,0.0003516496972652263,0.0,0.0,0.0,0.7999999999999999,-1.2901333579877903,0,
C0,D3 CEO transition,DoNothing,Stay,0.0,0.0,3.7680262584377044,0.9245516779169395,1.1695164673549994,0.0918,0.0459,0.0,0.0,0.0041,0.76615,0.08295,0.019655618664111797,1.3676682995988545,0.7000000000000001,0.030065869419997233,0.1836,0.01025,0.0006358084969423085,0.0,0.0,0.0,0.812,-1.4659193935615022,0,
C0,D3 CEO transition,DoNothing,Resign,0.0,0.0,3.722925047877734,0.7887417305036454,1.1528429393265447,0.0369,0.01845,0.0,0.0,0.00135,1.0,0.0,0.022833412306490587,1.4814496867214852,0.7000000000000001,0.011371757306178,0.0738,0.003375,0.00019497319746739552,0.0,0.0,0.0,0.7999999999999999,-1.4653109215645344,0,
C0,D3 CEO transition,RecommendStrike,Stay,0.5,0.3,3.8652884429108,1.2558345905477344,1.1662223640727094,-0.043299999999999984,0.12835,0.0,0.0,0.0041,0.7638,0.0822,0.019533643012139765,1.3710805516554117,0.7000000000000001,0.031609456290836856,0.5134,0.01025,0.0005751342568976443,0.0,0.0,0.0,0.8083199999999999,-1.468744967515751,0,
C0,D3 CEO transition,RecommendStrike,Resign,0.5,0.3,3.7614540184287906,0.996838691238388,1.152887826836099,-0.15869999999999998,0.07065,0.0,0.0,0.001,1.0,0.0,0.02305875924169564,1.479949852716026,0.7000000000000001,0.011551307344394992,0.2826,0.0025,0.00018738389399300788,0.0,0.0,0.0,0.7999999999999999,-1.4693886062533703,0,
C1,D1 Review-first,DoNothing,Stay,0.0,0.0,0.40108090900390464,0.8167162120052062,0.1373657981836501,0.2413,0.12065,0.0,0.0,0.01315,0.0,0.0,0.013683927803418,1.0259072090849897,0.25,0.049463192734600356,0.4826,0.032875,0.0017780192706058128,0.0,0.0,0.0,0.0,-1.7139259599477052,0,D1 Review-first
C1,D1 Review-first,DoNothing,Resign,0.0,0.0,0.2638749642346616,0.29952495231288223,0.9269483858038672,0.02,0.01,0.0,0.0,0.00065,1.0,0.0,0.025660393598000646,1.6280659954291596,0.25,0.00779354321546828,0.04,0.001625,0.00010640909741394809,0.0,0.0,0.0,0.7999999999999999,-1.7173473320786867,0,D1 Review-first
C1,D1 Review-first,RecommendStrike,Stay,0.5,0.3,0.6805011230422802,1.4793764973897068,0.13784660237042135,0.2719,0.28595,0.0,0.0,0.01295,0.0,0.0,0.013657665446865355,1.0332814919559623,0.25,0.05138640948168536,1.1438,0.032375,0.0018150879080214516,0.0,0.0,0.0,0.0,-1.7260671618660821,0,D1 Review-first
C1,D1 Review-first,RecommendStrike,Resign,0.5,0.3,0.28590150398581765,0.4178436719810903,0.927031314504277,-0.2209,0.03955,0.0,0.0,0.00055,1.0,0.0,0.025619478885170622,1.628322975362262,0.25,0.008125258017107789,0.1582,0.001375,0.00014341396398243422,0.0,0.0,0.0,0.7999999999999999,-1.7224043567013483,0,D1 Review-first
C1,D2 Accountability-lite,DoNothing,Stay,0.0,0.0,1.4529887576324945,1.3238100101766592,0.19037691758555278,0.4135,0.20675,0.0,0.0,0.03265,0.0,0.0,0.011811913084756131,0.8627066823916277,0.35000000000000003,0.061507670342211045,0.827,0.081625,0.0036773398344481707,0.0,0.0,0.7999999999999999,0.0,-1.4346305899714415,0,D1 Review-first
C1,D2 Accountability-lite,DoNothing,Resign,0.0,0.0,1.1737033571704831,0.4585294762273106,0.9775916453044018,0.0474,0.0237,0.0,0.0,0.00125,1.0,0.0,0.02387494991958466,1.4684641145443256,0.35000000000000003,0.010366581217607253,0.0948,0.003125,0.00023789500970337817,0.0,0.0,0.7999999999999999,0.7999999999999999,-1.4336524556731742,0,D1 Review-first
C1,D2 Accountability-lite,RecommendStrike,Stay,0.5,0.3,1.9045863486202208,2.165515131493628,0.19116979706987372,0.5346,0.4173,0.0,0.0,0.0312,0.0,0.0,0.0118153007157241,0.8613895333118384,0.35000000000000003,0.06467918827949481,1.6692,0.078,0.003635943214133137,0.0,0.0,0.7999999999999999,0.0,-1.4342600785733326,0,D1 Review-first
C1,D2 Accountability-lite,RecommendStrike,Resign,0.5,0.3,1.2244750478659343,0.6772250638212456,0.9777037606215323,-0.144,0.078,0.0,0.0,0.00165,1.0,0.0,0.02392350285851171,1.4663816251067874,0.35000000000000003,0.010815042486129288,0.312,0.004125,0.00028502133511640283,0.0,0.0,0.7999999999999999,0.7999999999999999,-1.4423102083902886,0,D1 Review-first
C1,D3 CEO transition,DoNothing,Stay,0.0,0.0,4.343614964209507,0.8693032856126771,1.152416666379829,0.0693,0.03465,0.0,0.0,0.0027,0.75925,0.0788,0.02166375034559716,1.462211655620986,0.7000000000000001,0.02358666551931505,0.1386,0.00675,0.00036662009336211644,0.0,0.0,0.6,0.7965200000000001,-1.6312943192056548,0,D1 Review-first
C1,D3 CEO transition,DoNothing,Resign,0.0,0.0,4.314537165258057,0.7600328870107432,1.152255208256271,0.0248,0.0124,0.0,0.0,0.0005,1.0,0.0,0.024962835100266888,1.5748784959868316,0.7000000000000001,0.009020833025083774,0.0496,0.00125,0.00016205398565947104,0.0,0.0,0.6,0.7999999999999999,-1.6274431464659813,0,D1 Review-first
C1,D3 CEO transition,RecommendStrike,Stay,0.5,0.3,4.4320350193869595,1.131396692515947,1.144243286752978,-0.09939999999999997,0.1003,0.0,0.0,0.0023,0.7597,0.0752,0.0215575181881197,1.4532900305678325,0.7000000000000001,0.02401314701191107,0.4012,0.00575,0.00043354550403627243,0.0,0.0,0.6,0.7882399999999999,-1.6206555968539116,0,D1 Review-first
C1,D3 CEO transition,RecommendStrike,Resign,0.5,0.3,4.3439655910329265,0.9047957880439026,1.1520707609030865,-0.2025,0.04875,0.0,0.0,0.00055,1.0,0.0,0.025096402712649363,1.5825825645466036,0.7000000000000001,0.008283043612345704,0.195,0.001375,0.00013774443155684836,0.0,0.0,0.6,0.7999999999999999,-1.6320809970683752,0,D1 Review-first
C2,D1 Review-first,DoNothing,Stay,0.0,0.0,7.394754620985685,6.833939494647581,0.24949885122605212,1.9277,0.96385,0.0,0.0,0.84,0.0,0.0,-0.009728659574125805,-0.583883207347868,0.25,0.49799540490420824,3.8554,2.1,0.13054408974337126,0.0,0.0,0.0,0.0,0.9765405085675313,0,D1 Review-first
C2,D1 Review-first,DoNothing,Resign,0.0,0.0,3.7697278888415786,4.755295518455438,0.9771849221481876,1.5465,0.77325,0.0,0.0,0.46165,1.0,0.0,0.0024866146728730956,0.030681572261937816,0.25,0.2087396885927499,3.093,1.154125,0.04943082986268852,0.0,0.0,0.0,0.7999999999999999,0.9532962797357268,0,D1 Review-first
C2,D1 Review-first,RecommendStrike,Stay,0.5,0.3,7.9666638500760545,6.926085133434739,0.24842421842000117,1.6762999999999997,0.98815,0.0,0.0,0.8396,0.0,0.0,-0.009668029304113113,-0.5840795151651653,0.25,0.4936968736800046,3.9526,2.099,0.13078825975473496,0.0,0.0,0.0,0.0,0.9708874783891425,0,D1 Review-first
C2,D1 Review-first,RecommendStrike,Resign,0.5,0.3,4.998125954886655,5.26228460651554,0.9778095224599159,1.4899999999999995,0.895,0.0,0.0,0.4681,1.0,0.0,0.0024252023175012857,0.020037045472003193,0.25,0.21123808983966347,3.58,1.17025,0.050796516675877465,0.0,0.0,0.0,0.7999999999999999,0.9684088609149804,0,D1 Review-first
C2,D2 Accountability-lite,DoNothing,Stay,0.0,0.0,8.695885359050843,7.105530478734455,0.3106080075387159,1.9429,0.97145,0.0,0.0,0.8727,0.0,0.0,-0.011322256062272827,-0.6732770012885945,0.35000000000000003,0.5424320301548637,3.8858,2.18175,0.14554844857959154,0.0,0.0,0.7999999999999999,0.0,1.1109891562181522,0,D1 Review-first
C2,D2 Accountability-lite,DoNothing,Resign,0.0,0.0,5.289698989864378,5.2788986531525035,1.035773048483976,1.6431,0.82155,0.0,0.0,0.5354,1.0,0.0,0.000571376982053697,-0.07785967860972137,0.35000000000000003,0.24309219393590387,3.2862,1.3385,0.06110645921659925,0.0,0.0,0.7999999999999999,0.7999999999999999,1.1257950096964302,0,D1 Review-first
C2,D2 Accountability-lite,RecommendStrike,Stay,0.5,0.3,9.195247355809052,7.1804714744120695,0.3116847032193001,1.6838999999999997,0.99195,0.0,0.0,0.86875,0.0,0.0,-0.011444158447578002,-0.6622908604956951,0.35000000000000003,0.5467388128772004,3.9678,2.171875,0.1440576615348688,0.0,0.0,0.7999999999999999,0.0,1.1101040344094981,0,D1 Review-first
C2,D2 Accountability-lite,RecommendStrike,Resign,0.5,0.3,6.424175777743452,5.681609370324603,1.0351560559970363,1.5507999999999997,0.9254,0.0,0.0,0.53175,1.0,0.0,0.0006863247853184526,-0.07291740003935017,0.35000000000000003,0.24062422398814487,3.7016,1.329375,0.06001014633645777,0.0,0.0,0.7999999999999999,0.7999999999999999,1.1182120911276483,0,D1 Review-first
C2,D3 CEO transition,DoNothing,Stay,0.0,0.0,8.78420676884354,5.893242358458052,1.780538624780888,1.6585,0.82925,0.0,0.0,0.5574,0.61325,0.3484,-0.004939660905439102,-0.11984718737996536,0.7000000000000001,0.4151144991235522,3.317,1.3935,0.06762785933450002,0.0,0.0,0.6,1.3267600000000002,1.0181704717311346,0,D1 Review-first
C2,D3 CEO transition,DoNothing,Resign,0.0,0.0,8.001339215400368,5.335543953867156,1.2046677137461177,1.5746,0.7873,0.0,0.0,0.48585,1.0,0.0,0.0019744469753354664,-0.004180865507578401,0.7000000000000001,0.21867085498447014,3.1492,1.214625,0.05304809888268628,0.0,0.0,0.6,0.7999999999999999,1.0088674283876222,0,D1 Review-first
C2,D3 CEO transition,RecommendStrike,Stay,0.5,0.3,9.873490018982073,6.280995025309433,1.776947719614144,1.5468999999999997,0.92345,0.0,0.0,0.56235,0.61535,0.3463,-0.004944859833046663,-0.11521022264154576,0.7000000000000001,0.41419087845657615,3.6938,1.405875,0.06712914685285626,0.0,0.0,0.6,1.3234000000000001,1.0170007915055486,0,D1 Review-first
C2,D3 CEO transition,RecommendStrike,Resign,0.5,0.3,9.263678830345349,5.828563440460465,1.205864817297302,1.5143999999999997,0.9072,0.0,0.0,0.48885,1.0,0.0,0.0016812387560405089,-0.012797286288850662,0.7000000000000001,0.22345926918920864,3.6288,1.222125,0.05417917127125676,0.0,0.0,0.6,0.7999999999999999,1.0208509063217188,0,D1 Review-first
C3,D0 Minimal,Low,Stay,0.2,0.1,15.970301570343842,14.658352093791793,0.4485407564852119,4.4963999999999995,0.97105,0.97105,0.33665,0.83995,0.0,0.0,-0.03983880662619351,-0.6603099409934726,0.09999999999999999,1.5941630259408481,0.0,0.0,0.14603906785094306,7.7684,5.04975,3.0,0.0,1.0964739791437996,1,D1 Review-first
C3,D0 Minimal,Low,Resign,0.2,0.1,11.864263135736923,12.33545084764923,1.1289083776782358,3.865049999999999,0.83785,0.83785,0.2903,0.5214,1.0,0.0,-0.027737408087914837,-0.051245761235253644,0.09999999999999999,1.1156335107129427,0.0,0.0,0.06251733693628828,6.7028,4.3545,3.0,0.7999999999999999,1.099106176791722,1,D1 Review-first
C3,D0 Minimal,Medium,Stay,0.5,0.4,16.651940216752298,14.871803622336394,0.44804732881672227,4.2731,0.98495,0.98495,0.34365,0.84165,0.0,0.0,-0.039787469563798104,-0.6552097611676901,0.09999999999999999,1.5921893152668891,0.0,0.0,0.14526430706950727,7.8796,5.15475,3.0,0.0,1.0915616571478675,1,D1 Review-first
C3,D0 Minimal,Medium,Resign,0.5,0.4,13.082053824309419,13.037055099079225,1.1295876256625976,3.8164,0.89355,0.89355,0.30715,0.5175,1.0,0.0,-0.027786163242854364,-0.053142735507064574,0.09999999999999999,1.1183505026503902,0.0,0.0,0.06305459642883539,7.1484,4.60725,3.0,0.7999999999999999,1.0930442715662037,1,D1 Review-first
C3,D0 Minimal,High,Stay,0.9,0.8,17.13359593711315,14.991844582817535,0.4464987255455369,3.9185,0.99525,0.99525,0.34655,0.83795,0.0,0.0,-0.03963216458429358,-0.6581532685724168,0.09999999999999999,1.5859949021821473,0.0,0.0,0.14559968063538475,7.962,5.19825,3.0,0.0,1.097350084182187,1,D1 Review-first
C3,D0 Minimal,High,Resign,0.9,0.8,14.759381466721639,13.837891955628852,1.1313537782637646,3.6993,0.94885,0.94885,0.33055,0.5228,1.0,0.0,-0.027966315485839697,-0.05710642620375255,0.09999999999999999,1.1254151130550585,0.0,0.0,0.06342684257379326,7.5908,4.95825,3.0,0.7999999999999999,1.0932848009833103,1,D1 Review-first
C3,D1 Review-first,Low,Stay,0.2,0.1,1.008911258605129,1.2634816781401719,0.37797041953504296,-0.09939999999999999,0.0002,0.0002,0.0,0.0,0.0,0.0,-0.025016160267233224,3.0668175633186716,0.25,1.0118816781401718,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,-5.116210881715281,1,D1 Review-first
C3,D1 Review-first,Low,Resign,0.2,0.1,0.6887087710282722,0.8360950280376964,1.071236257009424,-0.0996,5e-05,5e-05,5e-05,0.0,1.0,0.0,-0.013208492392878938,3.6692114167592838,0.25,0.5849450280376963,0.0,0.0,0.0,0.0004,0.00075,0.0,0.7999999999999999,-5.114984052257462,1,D1 Review-first
C3,D1 Review-first,Medium,Stay,0.5,0.4,1.01860727969012,1.274543039586827,0.3809357598967067,-0.39969999999999994,0.0001,0.0001,0.0,0.0,0.0,0.0,-0.025351765357191216,3.0709198519049656,0.25,1.0237430395868268,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,-5.1171528474886445,1,D1 Review-first
C3,D1 Review-first,Medium,Resign,0.5,0.4,0.690404632094635,0.8370728427928465,1.0716682106982116,-0.3998499999999999,5e-05,5e-05,0.0,0.0,1.0,0.0,-0.013212352838828179,3.676599277921288,0.25,0.5866728427928467,0.0,0.0,0.0,0.0004,0.0,0.0,0.7999999999999999,-5.123599517903165,1,D1 Review-first
C3,D1 Review-first,High,Stay,0.9,0.8,1.0117430085783408,1.2741406781044544,0.37839766952611364,-0.7961999999999999,0.00085,0.00085,0.00025,0.0,0.0,0.0,-0.0250654381712504,3.071557250103935,0.25,1.0135906781044544,0.0,0.0,0.0,0.0068,0.00375,0.0,0.0,-5.11875451100851,1,D1 Review-first
C3,D1 Review-first,High,Resign,0.9,0.8,0.6931436109657613,0.8403248146210149,1.0725812036552538,-0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,-0.013362148312394163,3.678303835412413,0.25,0.5903248146210149,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,-5.1301849251306395,1,D1 Review-first
C3,D2 Accountability-lite,Low,Stay,0.2,0.1,1.972576893582899,1.4719191914438652,0.4474879586309368,-0.08854999999999999,0.0024,0.0024,0.00085,0.0001,0.0,0.0,-0.027044110949408603,2.4293557289072867,0.35000000000000003,1.0899518345237473,0.0,0.0,1.7356920117992755e-05,0.0192,0.01275,0.7999999999999999,0.0,-4.049123712296103,1,D1 Review-first
C3,D2 Accountability-lite,Low,Resign,0.2,0.1,1.6374672839586133,1.0027397119448178,1.1372224279862047,-0.09864999999999999,0.0002,0.0002,0.00015,0.0,1.0,0.0,-0.015085998501851395,3.0256468435261494,0.35000000000000003,0.6488897119448178,0.0,0.0,0.0,0.0016,0.00225,0.7999999999999999,0.7999999999999999,-4.04994798750462,1,D1 Review-first
C3,D2 Accountability-lite,Medium,Stay,0.5,0.4,1.9755078764187106,1.5204605018916144,0.4484486348027799,-0.37259999999999993,0.00555,0.00555,0.00215,0.00015,0.0,0.0,-0.02714708511166462,2.4255932256547266,0.35000000000000003,1.09379453921112,0.0,0.0,1.596268049433906e-05,0.0444,0.03225,0.7999999999999999,0.0,-4.0460897296237,1,D1 Review-first
C3,D2 Accountability-lite,Medium,Resign,0.5,0.4,1.6345894968548498,1.0004359958064664,1.1361464989516168,-0.3979,0.00045,0.00045,0.00015,0.0,1.0,0.0,-0.014973199508174787,3.028684488419938,0.35000000000000003,0.6445859958064665,0.0,0.0,0.0,0.0036,0.00225,0.7999999999999999,0.7999999999999999,-4.051174938007101,1,D1 Review-first
C3,D2 Accountability-lite,High,Stay,0.9,0.8,1.9971868674887716,1.6317658233183618,0.44722127101015113,-0.7308999999999999,0.01445,0.01445,0.00515,0.0001,0.0,0.0,-0.027009338103725015,2.4231741235718807,0.35000000000000003,1.0888850840406048,0.0,0.0,3.07392777566991e-05,0.1156,0.07725,0.7999999999999999,0.0,-4.04358317303865,1,D1 Review-first
C3,D2 Accountability-lite,High,Resign,0.9,0.8,1.6352704873383739,1.0064273164511648,1.1367568291127912,-0.7965999999999999,0.0008,0.0008,0.0002,0.0,1.0,0.0,-0.015035105928231934,3.0223343990910485,0.35000000000000003,0.6470273164511648,0.0,0.0,0.0,0.0064,0.003,0.7999999999999999,0.7999999999999999,-4.04109492524116,1,D1 Review-first
C3,D3 CEO transition,Low,Stay,0.2,0.1,5.005935562787838,1.6417974170504501,0.7690218542626126,-0.09885,0.0003,0.0003,5e-05,0.0,0.22565,0.0016,-0.02301388670259585,2.9861440930511667,0.7000000000000001,0.9386474170504502,0.0,0.0,0.0,0.0024,0.00075,0.6,0.18436000000000002,-4.752467503875207,1,D1 Review-first
C3,D3 CEO transition,Low,Resign,0.2,0.1,4.754256309067252,1.3055417454230032,1.301285436355751,-0.09985,5e-05,5e-05,0.0,0.0,1.0,0.0,-0.013802631784647624,3.460868351046797,0.7000000000000001,0.6051417454230034,0.0,0.0,0.0,0.0004,0.0,0.6,0.7999999999999999,-4.762330066243553,1,D1 Review-first
C3,D3 CEO transition,Medium,Stay,0.5,0.4,5.0061122890375245,1.6471997187166998,0.768757429679175,-0.39774999999999994,0.0005,0.0005,0.00015,0.0,0.224,0.0018,-0.023084956997018413,2.988611509596818,0.7000000000000001,0.9409497187167001,0.0,0.0,0.0,0.004,0.00225,0.6,0.18352000000000002,-4.760750981935892,1,D1 Review-first
C3,D3 CEO transition,Medium,Resign,0.5,0.4,4.758651309617418,1.3123017461565574,1.3025004365391395,-0.39919999999999994,0.0001,0.0001,0.0001,0.0,1.0,0.0,-0.01392242580372467,3.464131510556816,0.7000000000000001,0.6100017461565576,0.0,0.0,0.0,0.0008,0.0015,0.6,0.7999999999999999,-4.774735632287804,1,D1 Review-first
C3,D3 CEO transition,High,Stay,0.9,0.8,5.011096806281818,1.6723290750424231,0.7687022687606059,-0.7904499999999999,0.00185,0.00185,0.0008,0.0,0.22295,0.00165,-0.02319205896780189,2.9958524834361384,0.7000000000000001,0.9455290750424236,0.0,0.0,0.0,0.0148,0.012,0.6,0.18232000000000004,-4.773105388954625,1,D1 Review-first
C3,D3 CEO transition,High,Resign,0.9,0.8,4.756824097972277,1.31184879729637,1.3022746993240926,-0.7989999999999999,0.00025,0.00025,5e-05,0.0,1.0,0.0,-0.013922960180937458,3.458499103978563,0.7000000000000001,0.6090987972963698,0.0,0.0,0.0,0.002,0.00075,0.6,0.7999999999999999,-4.762722395965926,1,D1 Review-first
