scenario_id,model,prompt_variant,n_successful_seeds,mean_prob_vector,var_prob_vector,mean_factor_ratings,var_factor_ratings,mean_seed_variance
S2_009,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.08799999999999997, ""Drev_sack_ceo"": 0.9119999999999999}","{""Drev_no_action"": 0.0008559999999999998, ""Drev_sack_ceo"": 0.0008559999999999988}","[5.0, 4.94, 4.9, 3.6, 4.56, 3.16, 4.1, 3.08, 4.64, 3.2]","[0.0, 0.05640000000000001, 0.08999999999999987, 0.48, 0.28639999999999977, 0.33440000000000025, 0.28999999999999987, 0.3935999999999995, 0.23039999999999985, 0.6000000000000001]",0.0008559999999999993
S2_011,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.18500000000000003, ""Drev_no_action"": 0.059, ""Drev_sack_ceo"": 0.7559999999999999}","{""Drev_commission_review"": 0.0022250000000000004, ""Drev_no_action"": 0.0004690000000000001, ""Drev_sack_ceo"": 0.0032640000000000026}","[4.98, 4.92, 4.6, 3.56, 4.4, 3.18, 4.04, 3.04, 4.56, 3.46]","[0.019599999999999985, 0.07360000000000012, 0.3199999999999999, 0.36639999999999995, 0.3199999999999999, 0.22760000000000005, 0.35839999999999994, 0.31839999999999985, 0.32639999999999986, 0.48840000000000017]",0.0019860000000000012
S2_014,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.24960000000000002, ""Drev_no_action"": 0.044599999999999994, ""Drev_sack_ceo"": 0.7058000000000001}","{""Drev_commission_review"": 0.0014678399999999993, ""Drev_no_action"": 0.00022084000000000006, ""Drev_sack_ceo"": 0.0019483600000000005}","[5.0, 4.92, 4.82, 3.66, 4.54, 3.0, 4.08, 3.08, 4.54, 3.3]","[0.0, 0.11360000000000012, 0.14760000000000006, 0.38440000000000024, 0.4084000000000003, 0.32, 0.1935999999999999, 0.3135999999999997, 0.24840000000000018, 0.5700000000000004]",0.0012123466666666667
S2_017,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.127, ""Drev_sack_ceo"": 0.8730000000000001}","{""Drev_no_action"": 0.001221, ""Drev_sack_ceo"": 0.0012210000000000005}","[5.0, 4.88, 4.84, 3.62, 4.38, 3.12, 4.24, 3.22, 4.5, 3.26]","[0.0, 0.14560000000000006, 0.1343999999999999, 0.7155999999999999, 0.3955999999999998, 0.42560000000000003, 0.2624000000000002, 0.33160000000000023, 0.41, 0.4723999999999998]",0.0012210000000000003
S2_018,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.18899999999999997, ""Drev_no_action"": 0.056999999999999995, ""Drev_sack_ceo"": 0.7540000000000002}","{""Drev_commission_review"": 0.002429, ""Drev_no_action"": 0.00040100000000000004, ""Drev_sack_ceo"": 0.003584000000000002}","[5.0, 4.68, 4.74, 3.58, 4.44, 3.04, 4.02, 3.0, 4.44, 3.52]","[0.0, 0.45759999999999934, 0.2324000000000003, 0.4836000000000004, 0.3263999999999998, 0.27839999999999987, 0.21960000000000018, 0.48, 0.24639999999999979, 0.5296]",0.0021380000000000006
S2_019,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.079, ""Drev_sack_ceo"": 0.9209999999999999}","{""Drev_no_action"": 0.0006090000000000001, ""Drev_sack_ceo"": 0.0006089999999999983}","[5.0, 4.96, 4.96, 3.88, 4.6, 3.34, 4.3, 3.18, 4.7, 3.16]","[0.0, 0.03840000000000002, 0.03840000000000003, 0.6255999999999996, 0.23999999999999988, 0.30440000000000017, 0.24999999999999997, 0.5476000000000001, 0.21, 0.6544000000000004]",0.0006089999999999992
S2_020,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.07200000000000001, ""Drev_sack_ceo"": 0.9279999999999998}","{""Drev_no_action"": 0.001016, ""Drev_sack_ceo"": 0.0010159999999999987}","[5.0, 4.98, 4.94, 3.9, 4.7, 3.14, 4.26, 3.36, 4.76, 3.42]","[0.0, 0.019599999999999996, 0.056400000000000027, 0.4099999999999999, 0.24999999999999997, 0.3204000000000001, 0.3923999999999998, 0.47040000000000015, 0.1824000000000001, 0.7636000000000003]",0.0010159999999999993
S2_021,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.735, ""Drev_no_action"": 0.265}","{""Drev_commission_review"": 0.003525000000000001, ""Drev_no_action"": 0.003525}","[4.64, 4.7, 4.42, 3.02, 4.26, 3.06, 3.8, 3.12, 4.36, 3.18]","[0.31039999999999984, 0.24999999999999997, 0.3235999999999997, 0.33960000000000024, 0.3524000000000004, 0.2564, 0.4000000000000003, 0.46559999999999974, 0.27039999999999986, 0.38760000000000006]",0.0035250000000000004
S2_023,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.828, ""Drev_no_action"": 0.172}","{""Drev_commission_review"": 0.0028160000000000004, ""Drev_no_action"": 0.0028159999999999995}","[5.0, 4.86, 4.84, 3.44, 4.4, 2.96, 4.0, 3.1, 4.42, 3.18]","[0.0, 0.12039999999999995, 0.13439999999999988, 0.4064, 0.2799999999999999, 0.35839999999999994, 0.24, 0.33, 0.4436, 0.4276]",0.002816
S2_anchor_car001,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.095, ""Drev_sack_ceo"": 0.9050000000000001}","{""Drev_no_action"": 0.0010249999999999999, ""Drev_sack_ceo"": 0.0010249999999999994}","[5.0, 5.0, 4.9, 3.86, 4.42, 3.24, 4.22, 3.14, 4.72, 3.32]","[0.0, 0.0, 0.08999999999999987, 0.40040000000000014, 0.3635999999999999, 0.3024000000000004, 0.3315999999999999, 0.32040000000000013, 0.24160000000000012, 0.5775999999999998]",0.0010249999999999997
S2_anchor_car012,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.102, ""Drev_sack_ceo"": 0.8980000000000001}","{""Drev_no_action"": 0.0010959999999999995, ""Drev_sack_ceo"": 0.0010959999999999995}","[5.0, 4.98, 4.92, 3.92, 4.5, 3.36, 4.34, 3.32, 4.68, 3.54]","[0.0, 0.019599999999999985, 0.07360000000000005, 0.3535999999999998, 0.41, 0.27040000000000014, 0.26440000000000013, 0.33759999999999996, 0.21759999999999988, 0.44840000000000013]",0.0010959999999999995
S3_002,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.15900000000000003, ""Drev_no_action"": 0.05139999999999999, ""Drev_sack_ceo"": 0.7896000000000001}","{""Drev_commission_review"": 0.0017690000000000004, ""Drev_no_action"": 0.00011604, ""Drev_sack_ceo"": 0.0021198400000000004}","[5.0, 4.94, 4.72, 3.76, 4.4, 3.04, 4.06, 3.08, 4.58, 3.42]","[0.0, 0.056400000000000075, 0.24160000000000006, 0.5424000000000003, 0.35999999999999993, 0.31839999999999985, 0.17639999999999997, 0.5535999999999995, 0.28359999999999974, 0.6836000000000003]",0.0013349600000000003
S3_004,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.15000000000000002, ""Drev_no_action"": 0.05079999999999999, ""Drev_sack_ceo"": 0.7991999999999999}","{""Drev_commission_review"": 0.0009000000000000001, ""Drev_no_action"": 5.1360000000000016e-05, ""Drev_sack_ceo"": 0.0010513599999999999}","[5.0, 4.94, 4.78, 3.62, 4.6, 3.18, 4.1, 3.06, 4.64, 3.24]","[0.0, 0.05640000000000003, 0.29159999999999986, 0.5155999999999998, 0.2799999999999999, 0.34760000000000024, 0.20999999999999994, 0.3363999999999999, 0.23039999999999985, 0.6624000000000003]",0.0006675733333333333
S3_006,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.16, ""Drev_no_action"": 0.05339999999999999, ""Drev_sack_ceo"": 0.7866}","{""Drev_commission_review"": 0.0019, ""Drev_no_action"": 0.00020644000000000004, ""Drev_sack_ceo"": 0.002338440000000001}","[5.0, 4.94, 4.86, 3.72, 4.46, 3.1, 4.2, 3.1, 4.56, 3.26]","[0.0, 0.0964, 0.12039999999999992, 0.4415999999999999, 0.4484000000000003, 0.29, 0.20000000000000004, 0.37000000000000016, 0.3263999999999998, 0.47239999999999965]",0.0014816266666666672
S3_008,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.14800000000000002, ""Drev_no_action"": 0.05299999999999999, ""Drev_sack_ceo"": 0.7989999999999999}","{""Drev_commission_review"": 0.001696, ""Drev_no_action"": 0.00014100000000000004, ""Drev_sack_ceo"": 0.0020490000000000005}","[5.0, 4.92, 4.74, 3.98, 4.62, 3.32, 4.08, 2.92, 4.56, 3.62]","[0.0, 0.07360000000000014, 0.1924, 0.4595999999999997, 0.31559999999999966, 0.3375999999999999, 0.23359999999999995, 0.31359999999999977, 0.24639999999999979, 0.4756]",0.0012953333333333334
S3_010,gpt-4o-mini,1,50,"{""D1_review"": 0.0, ""Drev_commission_review"": 0.151, ""Drev_no_action"": 0.04999999999999999, ""Drev_sack_ceo"": 0.7989999999999999}","{""D1_review"": 0.0, ""Drev_commission_review"": 0.0018490000000000004, ""Drev_no_action"": 0.00010000000000000002, ""Drev_sack_ceo"": 0.0021490000000000003}","[5.0, 4.96, 4.9, 3.82, 4.46, 3.18, 4.1, 3.0, 4.68, 3.3]","[0.0, 0.03840000000000003, 0.08999999999999991, 0.34760000000000035, 0.28840000000000027, 0.38759999999999983, 0.28999999999999987, 0.44, 0.2575999999999997, 0.8100000000000004]",0.0010245000000000002
S3_011,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.225, ""Drev_no_action"": 0.055, ""Drev_sack_ceo"": 0.7199999999999999}","{""Drev_commission_review"": 0.0026249999999999997, ""Drev_no_action"": 0.0003250000000000001, ""Drev_sack_ceo"": 0.0032000000000000023}","[5.0, 4.84, 4.58, 3.68, 4.34, 3.18, 4.08, 2.92, 4.4, 3.3]","[0.0, 0.17439999999999997, 0.3235999999999998, 0.3375999999999999, 0.5844000000000004, 0.22760000000000022, 0.3935999999999996, 0.3535999999999997, 0.3999999999999999, 0.6500000000000002]",0.002050000000000001
S3_012,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.23199999999999998, ""Drev_no_action"": 0.05199999999999999, ""Drev_sack_ceo"": 0.7160000000000001}","{""Drev_commission_review"": 0.0030759999999999993, ""Drev_no_action"": 9.6e-05, ""Drev_sack_ceo"": 0.0033440000000000015}","[4.96, 4.84, 4.76, 3.48, 4.42, 3.0, 4.0, 2.92, 4.58, 3.52]","[0.03840000000000002, 0.1343999999999999, 0.18240000000000006, 0.5295999999999998, 0.4035999999999999, 0.2, 0.32, 0.39359999999999973, 0.3235999999999998, 0.44959999999999994]",0.0021720000000000003
S3_013,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.212, ""Drev_no_action"": 0.04999999999999999, ""Drev_sack_ceo"": 0.7380000000000001}","{""Drev_commission_review"": 0.002156, ""Drev_no_action"": 1.925929944387236e-34, ""Drev_sack_ceo"": 0.0021560000000000025}","[5.0, 4.88, 4.84, 3.9, 4.4, 3.1, 4.02, 3.02, 4.54, 3.44]","[0.0, 0.18560000000000001, 0.17439999999999992, 0.49000000000000027, 0.4799999999999999, 0.20999999999999988, 0.3796000000000001, 0.4196000000000001, 0.24840000000000018, 0.3263999999999998]",0.001437333333333334
S3_014,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.20699999999999996, ""Drev_no_action"": 0.05039999999999999, ""Drev_sack_ceo"": 0.7426}","{""Drev_commission_review"": 0.0027009999999999994, ""Drev_no_action"": 0.00016384000000000003, ""Drev_sack_ceo"": 0.003139240000000001}","[5.0, 4.86, 4.8, 3.64, 4.42, 3.06, 4.06, 3.14, 4.62, 3.3]","[0.0, 0.1604, 0.15999999999999998, 0.5904000000000003, 0.36359999999999976, 0.3363999999999999, 0.2564, 0.4804, 0.2355999999999999, 0.6100000000000002]",0.00200136
S3_015,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.09599999999999997, ""Drev_sack_ceo"": 0.904}","{""Drev_no_action"": 0.001384, ""Drev_sack_ceo"": 0.0013839999999999992}","[5.0, 4.96, 4.94, 3.84, 4.5, 3.26, 4.36, 3.1, 4.66, 3.42]","[0.0, 0.07839999999999993, 0.05640000000000004, 0.37440000000000034, 0.33, 0.4323999999999999, 0.23039999999999983, 0.29, 0.22440000000000013, 0.5236000000000003]",0.0013839999999999996
S3_016,gpt-4o-mini,1,100,"{""Drev_no_action"": 0.11300000000000003, ""Drev_sack_ceo"": 0.887}","{""Drev_no_action"": 0.001281, ""Drev_sack_ceo"": 0.0012810000000000002}","[5.0, 4.9, 4.96, 3.76, 4.56, 3.16, 4.14, 3.28, 4.62, 3.56]","[0.0, 0.08999999999999991, 0.0384, 0.30240000000000045, 0.32640000000000013, 0.3344000000000005, 0.36039999999999994, 0.3615999999999996, 0.23559999999999992, 0.36639999999999995]",0.001281
S3_017,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.07100000000000001, ""Drev_sack_ceo"": 0.929}","{""Drev_no_action"": 0.0006090000000000002, ""Drev_sack_ceo"": 0.0006089999999999983}","[5.0, 5.0, 4.94, 4.0, 4.78, 3.46, 4.26, 3.14, 4.84, 3.48]","[0.0, 0.0, 0.056400000000000027, 0.44, 0.17160000000000003, 0.3284000000000001, 0.3124000000000003, 0.3604000000000001, 0.13439999999999985, 0.6896]",0.0006089999999999993
S3_020,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.102, ""Drev_sack_ceo"": 0.8979999999999998}","{""Drev_no_action"": 0.001396, ""Drev_sack_ceo"": 0.0013959999999999992}","[5.0, 4.96, 4.9, 3.74, 4.44, 3.36, 4.12, 3.16, 4.58, 3.58]","[0.0, 0.03840000000000004, 0.08999999999999997, 0.47239999999999965, 0.4864, 0.2704000000000002, 0.3456000000000001, 0.4144000000000003, 0.2835999999999997, 0.4836000000000004]",0.0013959999999999997
S3_021,gpt-4o-mini,1,100,"{""Drev_no_action"": 0.117, ""Drev_sack_ceo"": 0.883}","{""Drev_no_action"": 0.0017610000000000004, ""Drev_sack_ceo"": 0.0017609999999999998}","[5.0, 4.92, 4.94, 3.76, 4.66, 3.38, 4.26, 3.1, 4.74, 3.32]","[0.0, 0.07360000000000012, 0.056399999999999964, 0.3424000000000004, 0.30440000000000045, 0.3156, 0.23239999999999988, 0.33000000000000035, 0.19240000000000004, 0.4575999999999999]",0.001761
S3_022,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.071, ""Drev_sack_ceo"": 0.929}","{""Drev_no_action"": 0.0010090000000000001, ""Drev_sack_ceo"": 0.0010089999999999988}","[5.0, 4.98, 4.96, 3.98, 4.66, 3.32, 4.32, 3.22, 4.66, 3.4]","[0.0, 0.01959999999999998, 0.03840000000000003, 0.5396000000000001, 0.3444, 0.4575999999999999, 0.2575999999999998, 0.6116000000000004, 0.22440000000000013, 0.52]",0.0010089999999999995
S3_023,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.09099999999999998, ""Drev_sack_ceo"": 0.909}","{""Drev_no_action"": 0.001369, ""Drev_sack_ceo"": 0.0013689999999999985}","[5.0, 5.0, 4.96, 3.9, 4.64, 3.22, 4.24, 3.14, 4.72, 3.54]","[0.0, 0.0, 0.038400000000000045, 0.2899999999999999, 0.3103999999999998, 0.33160000000000006, 0.34240000000000026, 0.4404000000000001, 0.20160000000000008, 0.4483999999999999]",0.0013689999999999991
S3_024,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.08699999999999998, ""Drev_sack_ceo"": 0.9129999999999999}","{""Drev_no_action"": 0.002081, ""Drev_sack_ceo"": 0.002080999999999998}","[5.0, 4.98, 4.98, 3.92, 4.7, 3.22, 4.26, 3.38, 4.8, 3.44]","[0.0, 0.019599999999999996, 0.01959999999999997, 0.3135999999999996, 0.21, 0.4116000000000003, 0.2724000000000001, 0.4355999999999998, 0.15999999999999998, 0.6464000000000002]",0.002080999999999999
S3_028,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.242, ""Drev_no_action"": 0.0484, ""Drev_sack_ceo"": 0.7095999999999999}","{""Drev_commission_review"": 0.0014359999999999998, ""Drev_no_action"": 6.144e-05, ""Drev_sack_ceo"": 0.0015518400000000014}","[5.0, 4.88, 4.86, 3.7, 4.44, 3.12, 4.08, 3.04, 4.5, 3.36]","[0.0, 0.1456000000000001, 0.16039999999999988, 0.5700000000000003, 0.4464, 0.1856000000000001, 0.11360000000000006, 0.31839999999999985, 0.25, 0.5504000000000002]",0.0010164266666666671
S3_030,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.253, ""Drev_no_action"": 0.0492, ""Drev_sack_ceo"": 0.6978}","{""Drev_commission_review"": 0.0019409999999999994, ""Drev_no_action"": 0.00013136, ""Drev_sack_ceo"": 0.0022571600000000007}","[5.0, 4.94, 4.58, 3.38, 4.36, 3.0, 4.04, 2.94, 4.52, 3.38]","[0.0, 0.0963999999999998, 0.28359999999999974, 0.43559999999999993, 0.27039999999999986, 0.2, 0.39839999999999987, 0.37640000000000007, 0.3296000000000002, 0.4355999999999998]",0.0014431733333333332
S3_031,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.265, ""Drev_no_action"": 0.04879999999999999, ""Drev_sack_ceo"": 0.6862}","{""Drev_commission_review"": 0.0014249999999999996, ""Drev_no_action"": 0.00013056000000000002, ""Drev_sack_ceo"": 0.001691559999999999}","[5.0, 4.88, 4.68, 3.5, 4.48, 3.04, 4.0, 3.04, 4.6, 3.54]","[0.0, 0.14560000000000012, 0.2575999999999997, 0.37, 0.4495999999999998, 0.19839999999999985, 0.32, 0.15839999999999987, 0.23999999999999988, 0.44840000000000024]",0.001082373333333333
S3_032,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.2488, ""Drev_no_action"": 0.04699999999999999, ""Drev_sack_ceo"": 0.7042000000000002}","{""Drev_commission_review"": 0.0020105599999999998, ""Drev_no_action"": 0.000213, ""Drev_sack_ceo"": 0.0025043600000000006}","[5.0, 4.94, 4.84, 3.82, 4.68, 3.16, 4.04, 3.0, 4.56, 3.34]","[0.0, 0.05640000000000005, 0.1343999999999999, 0.2676000000000003, 0.33759999999999984, 0.2144000000000001, 0.31839999999999985, 0.28, 0.28639999999999977, 0.6244000000000005]",0.0015759733333333334
S3_033,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.2456, ""Drev_no_action"": 0.043, ""Drev_sack_ceo"": 0.7114}","{""Drev_commission_review"": 0.0014886399999999994, ""Drev_no_action"": 0.00026500000000000004, ""Drev_sack_ceo"": 0.0018160400000000005}","[5.0, 4.88, 4.76, 3.76, 4.62, 3.16, 4.08, 2.96, 4.54, 3.32]","[0.0, 0.10560000000000004, 0.3024000000000003, 0.5024000000000004, 0.2755999999999996, 0.3744000000000004, 0.39359999999999973, 0.31839999999999985, 0.3684000000000002, 0.6976]",0.0011898933333333334
S3_034,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.23600000000000002, ""Drev_no_action"": 0.04739999999999999, ""Drev_sack_ceo"": 0.7166}","{""Drev_commission_review"": 0.0019039999999999999, ""Drev_no_action"": 0.00011124000000000003, ""Drev_sack_ceo"": 0.0021424400000000015}","[5.0, 4.98, 4.78, 3.78, 4.64, 3.14, 4.14, 3.04, 4.5, 3.4]","[0.0, 0.019599999999999996, 0.1716, 0.37160000000000015, 0.31039999999999973, 0.3204, 0.20040000000000002, 0.19839999999999985, 0.25, 0.43999999999999995]",0.0013858933333333338
S3_037,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.199, ""Drev_sack_ceo"": 0.8009999999999999}","{""Drev_no_action"": 0.004149000000000001, ""Drev_sack_ceo"": 0.004149000000000002}","[4.96, 4.84, 4.66, 3.3, 4.52, 3.04, 4.04, 3.02, 4.64, 3.22]","[0.038400000000000045, 0.13439999999999988, 0.22440000000000007, 0.29, 0.24960000000000007, 0.3183999999999999, 0.19839999999999985, 0.33960000000000007, 0.23039999999999985, 0.49160000000000026]",0.004149000000000002
